id,name,price,description,badge,category,brand,image
126,CHOCO CEREAL,$5.50 ,KITKAT CHOCO CEREAL 330G,-10% OFF,Candies,Kitkat,image0078.jpg
127,TUBES SUGAR FREE,$0.85 ,POLO TUBES SUGAR FREE 33.4G*32,,Chocolates,Polo,image0302.jpg
128,TUBE ORIGINAL,$0.55 ,POLO TUBE ORIGINAL 34G*48,,Drinks,Polo,image0303.jpg
129,COOL MINT POCKET*12,$3.85 ,LISTERINE COOL MINT POCKET*12,,Drinks,Listerine,image0304.jpg
130,BREAKERS CINNAMON 42G8,$2.12 ,ICE BREAKERS CINNAMON 42G8,-10% OFF,Candies,Ice,image0305.jpg
131,BREAKERS SPEARMINT 42G8,$2.12 ,ICE BREAKERS SPEARMINT 42G8,,Drinks,Ice,image0306.jpg
132,BREAKERS COOL MINT,$2.12 ,ICE BREAKERS COOL MINT 42G*8,HOT SALE,Chocolates,Ice,image0307.jpg
133,BREAKERS SOURS MIXED,$2.12 ,ICE BREAKERS SOURS MIXED 42G*8,HOT SALE,Snacks,Ice,image0308.jpg
134,BREAKERS MINTS WINTERGREEN,$2.12 ,ICE BREAKERS MINTS WINTERGREEN 42G*8,,Candies,Ice,image0309.jpg
135,BREAKERS MINTS CINNAMON,$2.12 ,ICE BREAKERS MINTS CINNAMON 42G*8,,Snacks,Ice,image0310.jpg
136,BREAKERS DUO STRAWBERRY,$2.12 ,ICE BREAKERS DUO STRAWBERRY 42G*8,HOT SALE,Chocolates,Ice,image0311.jpg
137,BTL SUGAR FREE WHITE SPEARMINT,$3.50 ,TRIDENT BTL SUGAR FREE WHITE SPEARMINT 82.6G*6,,Candies,Trident,image0312.jpg
138,BTL SUGAR FREE DENTAL CARE PEPPERMINT,$3.50 ,TRIDENT BTL SUGAR FREE DENTAL CARE PEPPERMINT 82.6G*6,,Drinks,Trident,image0313.jpg
139,60MIN PEPPERMINT SUGAR FREE*6,$3.50 ,TRIDENT 60MIN PEPPERMINT SUGAR FREE*6,HOT SALE,Drinks,Trident,image0314.jpg
140,SPEARMINT SUGAR FREE BTL*6,$3.50 ,TRIDENT SPEARMINT SUGAR FREE BTL*6,,Drinks,Trident,image0315.jpg
141,WHITE PEPPERMINT SUGAR FREE WHITENS TEETH PREVENTS STAINS,$2.50 ,TRIDENT WHITE PEPPERMINT SUGAR FREE WHITENS TEETH PREVENTS STAINS,HOT SALE,Snacks,Trident,image0316.jpg
142,SPEARMINT SUGAR FREE,$1.00 ,TRIDENT SPEARMINT SUGAR FREE,HOT SALE,Drinks,Trident,image0317.jpg
143,BUBBLE SUGAR FREE,$1.00 ,TRIDENT BUBBLE SUGAR FREE,,Snacks,Trident,image0318.jpg
144,WATERMELON TWIST SUGAR FREE,$1.00 ,TRIDENT WATERMELON TWIST SUGAR FREE,,Chocolates,Trident,image0319.jpg
145,ORIGINAL SUGAR FREE*12,$1.00 ,TRIDENT ORIGINAL SUGAR FREE*12,-10% OFF,Candies,Trident,image0320.jpg
146,TROPICAL TWIST SUGAR FREE*12,$1.00 ,TRIDENT TROPICAL TWIST SUGAR FREE*12,HOT SALE,Chocolates,Trident,image0321.jpg
147,PINEAPPLE TWIST SUGAR FREE*12,$1.00 ,TRIDENT PINEAPPLE TWIST SUGAR FREE*12,,Drinks,Trident,image0322.jpg
148,ISLAND BERRY LIME*12 SUGAR FREE,$1.00 ,TRIDENT ISLAND BERRY LIME*12 SUGAR FREE,,Chocolates,Trident,image0323.jpg
149,CINNAMON S.FREE*12,$1.00 ,TRIDENT CINNAMON SUGAR FREE*12,,Chocolates,Trident,image0324.jpg
150,STRWBERRY FRUITWAVE FLV,$1.38 ,HALLS STRWBERRY FRUITWAVE FLV 45G*20,-10% OFF,Candies,Halls,image0325.jpg
151,BLUEBERRY FLV,$0.85 ,HALLS BLUEBERRY FLV 34G*20,HOT SALE,Drinks,Halls,image0326.jpg
152,EXTRA STRONG MINT FLV,$0.85 ,HALLS EXTRA STRONG MINT FLV 34G*20,-10% OFF,Chocolates,Halls,image0327.jpg
153,XS WATERMLON SUGAR FREE,$0.99 ,NEW*HALLS XS WATERMLON SUGAR FREE,,Chocolates,Halls,image0328.jpg
